73,560
77,65.3004425,65.448169625
68,65.527715,65.675442125
70,65.7549875,65.902714625
72,65.98226,66.129987125
82,66.2095325,66.357259625
80,66.43680499999999,66.58453212500001
79,66.6640775,66.81180462500001
80,66.89135,67.039077125
79,67.1186225,67.266349625
77,67.345895,67.493622125
76,67.5731675,67.720894625
77,67.80044000000001,67.948167125
79,68.0277125,68.175439625
80,68.254985,68.402712125
82,68.4822575,68.629984625
83,68.70953,68.857257125
84,68.9368025,69.62638583333333
76,69.6868025,69.834529625
74,69.914075,70.061802125
72,70.1413475,70.289074625
77,70.36861999999999,70.516347125
76,70.5958925,70.743619625
74,70.823165,70.970892125
79,71.0504375,71.198164625
77,71.27771,71.425437125
76,71.5049825,71.652709625
80,71.732255,71.879982125
79,71.9595275,72.107254625
77,72.1868,72.334527125
83,72.4140725,72.56179962499999
84,72.641345,72.789072125
86,72.8686175,73.016344625
86,73.09589,73.243617125
88,73.3231625,73.470889625
89,73.550435,73.698162125
89,73.7777075,73.925434625
88,74.00498,74.152707125
86,74.2322525,74.379979625
88,74.459525,74.607252125
86,74.6867975,74.834524625
84,74.91407,75.061797125
76,75.1413425,75.289069625
74,75.368615,75.516342125
72,75.5958875,75.74361462499999
77,75.82316,75.970887125
76,76.0504325,76.198159625
74,76.277705,76.425432125
79,76.5049775,76.652704625
77,76.73225,76.879977125
76,76.95952249999999,77.107249625
80,77.186795,77.33452212499999
79,77.4140675,77.561794625
77,77.64134,77.789067125
80,77.8686125,78.016339625
82,78.095885,78.243612125
84,78.3231575,78.470884625
84,78.55043,78.698157125
82,78.7777025,78.92542962499999
80,79.004975,79.152702125
80,79.2322475,79.379974625
79,79.45952,79.607247125
77,79.6867925,79.834519625
76,79.914065,80.061792125
74,80.14133749999999,80.289064625
72,80.36861,80.516337125
82,80.5958825,80.743609625
84,80.823155,80.970882125
85,81.0504275,81.198154625
85,81.2777,81.425427125
84,81.5049725,81.652699625
82,81.732245,81.879972125
82,81.9595175,82.10724462499999
80,82.18679,82.334517125
